Stop! Or My Mom Will Shoot,(1992),PG-13,87 min,$28.41M,Roger Spottiswoode,Sylvester Stallone,Estelle Getty,JoBeth Williams,Roger Rees
The Muppet Christmas Carol,(1992),G,85 min,$27.28M,Brian Henson,Michael Caine,Dave Goelz,Steve Whitmire,Jerry Nelson
Howards End,(1992),PG,140 min,$25.97M,James Ivory,Anthony Hopkins,Emma Thompson,Vanessa Redgrave,Helena Bonham Carter
Candyman,(1992),R,99 min,$25.79M,Bernard Rose,Virginia Madsen,Xander Berkeley,Tony Todd,Kasi Lemmons
The Cutting Edge,(1992),PG,101 min,$25.11M,Paul Michael Glaser,D.B. Sweeney,Moira Kelly,Roy Dotrice,Terry O'Quinn
Jurassic Park,(1993),PG-13,127 min,$356.78M,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough
Mrs. Doubtfire,(1993),PG-13,125 min,$219.20M,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein
The Fugitive,(1993),PG-13,130 min,$183.88M,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore
The Firm,(1993),R,154 min,$158.35M,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook
Sleepless in Seattle,(1993),PG,105 min,$126.67M,Nora Ephron,Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson
Indecent Proposal,(1993),R,117 min,$106.61M,Adrian Lyne,Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel
In the Line of Fire,(1993),R,128 min,$102.31M,Wolfgang Petersen,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott
The Pelican Brief,(1993),PG-13,141 min,$100.77M,Alan J. Pakula,Julia Roberts,Denzel Washington,Sam Shepard,John Heard
Schindler's List,(1993),R,195 min,$96.07M,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall
Cliffhanger,(1993),R,112 min,$84.05M,Renny Harlin,Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner
Free Willy,(1993),PG,112 min,$77.70M,Simon Wincer,Jason James Richter,Lori Petty,Michael Madsen,Jayne Atkinson
Philadelphia,(1993),PG-13,125 min,$77.32M,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman
The Nightmare Before Christmas,(1993),PG,76 min,$75.08M,Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey
Groundhog Day,(1993),PG,101 min,$70.91M,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky
Grumpy Old Men,(1993),PG-13,103 min,$70.17M,Donald Petrie,Jack Lemmon,Walter Matthau,Ann-Margret,Burgess Meredith
Cool Runnings,(1993),PG,98 min,$68.86M,Jon Turteltaub,John Candy,Leon,Doug E. Doug,Rawle D. Lewis
Dave,(1993),PG-13,110 min,$63.27M,Ivan Reitman,Kevin Kline,Sigourney Weaver,Frank Langella,Kevin Dunn
Rising Sun,(1993),R,129 min,$63.10M,Philip Kaufman,Sean Connery,Wesley Snipes,Harvey Keitel,Cary-Hiroyuki Tagawa
Demolition Man,(1993),R,115 min,$58.06M,Marco Brambilla,Sylvester Stallone,Wesley Snipes,Sandra Bullock,Nigel Hawthorne
Sister Act 2: Back in the Habit,(1993),PG,107 min,$57.32M,Bill Duke,Whoopi Goldberg,Kathy Najimy,Maggie Smith,Barnard Hughes
Tombstone,(1993),R,130 min,$56.51M,George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton
The Three Musketeers,(1993),PG,105 min,$53.90M,Stephen Herek,Charlie Sheen,Kiefer Sutherland,Chris O'Donnell,Oliver Platt
Rookie of the Year,(1993),PG,103 min,$53.58M,Daniel Stern,Thomas Ian Nicholas,Gary Busey,Albert Hall,Amy Morton
Beethoven's 2nd,(1993),PG,89 min,$53.35M,Rod Daniel,Charles Grodin,Bonnie Hunt,Nicholle Tom,Christopher Castile
Dennis the Menace,(1993),PG,94 min,$51.27M,Nick Castle,Walter Matthau,Mason Gamble,Joan Plowright,Christopher Lloyd
Sommersby,(1993),PG-13,114 min,$50.08M,Jon Amiel,Richard Gere,Jodie Foster,Lanny Flaherty,Wendell Wellman
Last Action Hero,(1993),PG-13,130 min,$50.02M,John McTiernan,Arnold Schwarzenegger,F. Murray Abraham,Art Carney,Charles Dance
Addams Family Values,(1993),PG-13,94 min,$48.86M,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Christopher Lloyd,Joan Cusack
